rank,team,year,games,wins,losses,ties,shootout_wins,shootout_losses,win_loss_percentage,goals_scored,goals_against,goal_differential
2,Montreal Canadiens,1989,21,14,7,0,4,1,0.667,67,51,16
3,Philadelphia Flyers,1989,19,10,9,0,1,2,0.526,64,60,4
4,Chicago Blackhawks,1989,16,9,7,0,1,2,0.563,52,45,7
5,Pittsburgh Penguins,1989,11,7,4,0,1,0,0.636,43,42,1
6,Boston Bruins,1989,10,5,5,0,0,1,0.5,29,30,-1
7,St. Louis Blues,1989,10,5,5,0,3,0,0.5,35,34,1
8,Los Angeles Kings,1989,11,4,7,0,0,1,0.364,36,42,-6
9,Vancouver Canucks,1989,7,3,4,0,1,1,0.429,20,26,-6
10,Edmonton Oilers,1989,7,3,4,0,0,0,0.429,20,25,-5
11,Detroit Red Wings,1989,6,2,4,0,0,1,0.333,18,25,-7
12,Washington Capitals,1989,6,2,4,0,1,0,0.333,19,25,-6
13,Buffalo Sabres,1989,5,1,4,0,0,0,0.2,14,16,-2
14,Minnesota North Stars,1989,5,1,4,0,0,2,0.2,15,23,-8
15,Hartford Whalers,1989,4,0,4,0,0,2,0,11,18,-7
16,New York Rangers,1989,4,0,4,0,0,0,0,11,19,-8
1,Edmonton Oilers,1988,19,16,2,1,2,0,0.868,87,56,31
2,Boston Bruins,1988,23,12,10,1,0,2,0.543,85,72,13
3,New Jersey Devils,1988,20,11,9,0,1,2,0.55,67,71,-4
4,Detroit Red Wings,1988,16,9,7,0,0,2,0.563,69,57,12
5,Washington Capitals,1988,14,7,7,0,1,1,0.5,54,50,4
6,St. Louis Blues,1988,10,5,5,0,0,0,0.5,35,38,-3
7,Montreal Canadiens,1988,11,5,6,0,0,0,0.455,33,35,-2
8,Calgary Flames,1988,9,4,5,0,0,1,0.444,41,36,5
9,Philadelphia Flyers,1988,7,3,4,0,1,1,0.429,25,31,-6
10,Buffalo Sabres,1988,6,2,4,0,1,0,0.333,22,28,-6
11,Toronto Maple Leafs,1988,6,2,4,0,1,0,0.333,20,32,-12
12,Hartford Whalers,1988,6,2,4,0,0,0,0.333,20,23,-3
13,New York Islanders,1988,6,2,4,0,2,0,0.333,18,23,-5
14,Los Angeles Kings,1988,5,1,4,0,0,0,0.2,18,30,-12
15,Winnipeg Jets,1988,5,1,4,0,0,0,0.2,17,25,-8
16,Chicago Blackhawks,1988,5,1,4,0,0,0,0.2,17,21,-4
1,Edmonton Oilers,1987,21,16,5,0,2,0,0.762,87,57,30
2,Philadelphia Flyers,1987,26,15,11,0,1,1,0.577,85,73,12
3,Montreal Canadiens,1987,17,10,7,0,2,1,0.588,67,54,13
4,Detroit Red Wings,1987,16,9,7,0,1,1,0.563,45,40,5
5,Quebec Nordiques,1987,13,7,6,0,1,2,0.538,48,45,3
6,Toronto Maple Leafs,1987,13,7,6,0,2,0,0.538,33,32,1
7,New York Islanders,1987,14,7,7,0,1,0,0.5,35,42,-7
8,Winnipeg Jets,1987,10,4,6,0,0,2,0.4,31,32,-1
9,Washington Capitals,1987,7,3,4,0,0,1,0.429,19,19,0
10,Calgary Flames,1987,6,2,4,0,1,0,0.333,15,22,-7
11,Hartford Whalers,1987,6,2,4,0,1,1,0.333,19,27,-8
12,New York Rangers,1987,6,2,4,0,0,0,0.333,13,22,-9
13,St. Louis Blues,1987,6,2,4,0,0,1,0.333,12,15,-3
14,Los Angeles Kings,1987,5,1,4,0,0,0,0.2,20,32,-12
15,Chicago Blackhawks,1987,4,0,4,0,0,1,0,6,15,-9
16,Boston Bruins,1987,4,0,4,0,0,1,0,11,19,-8
1,Montreal Canadiens,1986,20,15,5,0,3,1,0.75,56,41,15
2,Calgary Flames,1986,22,12,10,0,1,3,0.545,81,69,12
3,St. Louis Blues,1986,19,10,9,0,2,0,0.526,64,70,-6
4,New York Rangers,1986,16,8,8,0,2,1,0.5,47,55,-8
5,Toronto Maple Leafs,1986,10,6,4,0,0,1,0.6,40,33,7
6,Edmonton Oilers,1986,10,6,4,0,1,0,0.6,41,30,11
7,Hartford Whalers,1986,10,6,4,0,2,1,0.6,29,23,6
8,Washington Capitals,1986,9,5,4,0,0,2,0.556,36,24,12
9,Minnesota North Stars,1986,5,2,3,0,0,0,0.4,20,18,2
10,Philadelphia Flyers,1986,5,2,3,0,0,0,0.4,15,18,-3
11,Chicago Black Hawks,1986,3,0,3,0,0,0,0,9,18,-9
12,Winnipeg Jets,1986,3,0,3,0,0,1,0,8,15,-7
13,Vancouver Canucks,1986,3,0,3,0,0,0,0,5,17,-12
14,Boston Bruins,1986,3,0,3,0,0,0,0,6,10,-4
15,Quebec Nordiques,1986,3,0,3,0,0,1,0,7,16,-9
16,New York Islanders,1986,3,0,3,0,0,0,0,4,11,-7
1,Edmonton Oilers,1985,18,15,3,0,2,0,0.833,98,57,41
2,Philadelphia Flyers,1985,19,12,7,0,1,1,0.632,61,54,7
3,Chicago Black Hawks,1985,15,9,6,0,2,1,0.6,81,81,0
4,Quebec Nordiques,1985,18,9,9,0,4,0,0.5,58,63,-5
5,Montreal Canadiens,1985,12,6,6,0,0,3,0.5,43,41,2
6,Minnesota North Stars,1985,9,5,4,0,1,2,0.556,38,38,0
7,New York Islanders,1985,10,4,6,0,0,2,0.4,25,28,-3
8,Winnipeg Jets,1985,8,3,5,0,1,0,0.375,26,35,-9
9,Boston Bruins,1985,5,2,3,0,0,0,0.4,17,19,-2
10,Buffalo Sabres,1985,5,2,3,0,0,0,0.4,22,22,0
11,Washington Capitals,1985,5,2,3,0,2,0,0.4,12,14,-2
12,Calgary Flames,1985,4,1,3,0,0,1,0.25,13,15,-2
13,Detroit Red Wings,1985,3,0,3,0,0,0,0,8,23,-15
14,Los Angeles Kings,1985,3,0,3,0,0,2,0,7,11,-4
15,New York Rangers,1985,3,0,3,0,0,1,0,10,14,-4
16,St. Louis Blues,1985,3,0,3,0,0,0,0,5,9,-4
1,Edmonton Oilers,1984,19,15,4,0,1,2,0.789,94,56,38
2,New York Islanders,1984,21,12,9,0,2,0,0.571,62,60,2
3,Montreal Canadiens,1984,15,9,6,0,0,1,0.6,42,32,10
4,Minnesota North Stars,1984,16,7,9,0,1,1,0.438,47,53,-6
5,Calgary Flames,1984,11,6,5,0,2,0,0.545,41,46,-5
6,St. Louis Blues,1984,11,6,5,0,3,1,0.545,30,31,-1
7,Quebec Nordiques,1984,9,5,4,0,1,0,0.556,26,25,1
8,Washington Capitals,1984,8,4,4,0,0,1,0.5,28,25,3
9,Chicago Black Hawks,1984,5,2,3,0,0,0,0.4,14,18,-4
10,New York Rangers,1984,5,2,3,0,0,1,0.4,14,13,1
11,Vancouver Canucks,1984,4,1,3,0,0,0,0.25,13,14,-1
12,Detroit Red Wings,1984,4,1,3,0,0,2,0.25,12,13,-1
13,Boston Bruins,1984,3,0,3,0,0,0,0,2,10,-8
14,Buffalo Sabres,1984,3,0,3,0,0,0,0,5,13,-8
15,Winnipeg Jets,1984,3,0,3,0,0,1,0,7,18,-11
16,Philadelphia Flyers,1984,3,0,3,0,0,0,0,5,15,-10
1,New York Islanders,1983,20,15,5,0,0,0,0.75,94,53,41
2,Edmonton Oilers,1983,16,11,5,0,0,0,0.688,80,50,30
3,Boston Bruins,1983,17,9,8,0,2,0,0.529,65,61,4
4,Chicago Black Hawks,1983,13,7,6,0,1,0,0.538,49,51,-2
5,Buffalo Sabres,1983,10,6,4,0,0,1,0.6,31,35,-4
6,New York Rangers,1983,9,5,4,0,0,0,0.556,33,37,-4
7,Calgary Flames,1983,9,4,5,0,2,0,0.444,30,49,-19
8,Minnesota North Stars,1983,9,4,5,0,2,1,0.444,34,40,-6
9,Quebec Nordiques,1983,4,1,3,0,0,1,0.25,8,11,-3
10,St. Louis Blues,1983,4,1,3,0,0,0,0.25,10,16,-6
11,Vancouver Canucks,1983,4,1,3,0,0,2,0.25,14,17,-3
12,Toronto Maple Leafs,1983,4,1,3,0,0,2,0.25,18,18,0
13,Washington Capitals,1983,4,1,3,0,0,0,0.25,11,19,-8
14,Philadelphia Flyers,1983,3,0,3,0,0,0,0,9,18,-9
15,Winnipeg Jets,1983,3,0,3,0,0,0,0,9,14,-5
16,Montreal Canadiens,1983,3,0,3,0,0,0,0,2,8,-6
1,New York Islanders,1982,19,15,4,0,4,1,0.789,85,52,33
2,Vancouver Canucks,1982,17,11,6,0,3,2,0.647,57,50,7
3,Chicago Black Hawks,1982,15,8,7,0,1,2,0.533,50,51,-1
4,Quebec Nordiques,1982,16,7,9,0,2,2,0.438,48,60,-12
5,Boston Bruins,1982,11,6,5,0,1,1,0.545,43,39,4
6,New York Rangers,1982,10,5,5,0,0,1,0.5,39,42,-3
7,St. Louis Blues,1982,10,5,5,0,1,0,0.5,39,36,3
8,Los Angeles Kings,1982,10,4,6,0,2,2,0.4,41,42,-1
9,Edmonton Oilers,1982,5,2,3,0,1,1,0.4,23,27,-4
10,Montreal Canadiens,1982,5,2,3,0,0,1,0.4,16,11,5
11,Pittsburgh Penguins,1982,5,2,3,0,1,1,0.4,13,22,-9
12,Buffalo Sabres,1982,4,1,3,0,0,0,0.25,11,17,-6
13,Minnesota North Stars,1982,4,1,3,0,0,1,0.25,14,14,0
14,Philadelphia Flyers,1982,4,1,3,0,0,0,0.25,15,19,-4
15,Winnipeg Jets,1982,4,1,3,0,0,0,0.25,13,20,-7
16,Calgary Flames,1982,3,0,3,0,0,1,0,5,10,-5
1,New York Islanders,1981,18,15,3,0,1,0,0.833,97,48,49
2,Minnesota North Stars,1981,19,12,7,0,2,1,0.632,84,74,10
3,Calgary Flames,1981,16,9,7,0,1,0,0.563,55,60,-5
4,New York Rangers,1981,14,7,7,0,0,0,0.5,60,56,4
5,Philadelphia Flyers,1981,12,6,6,0,0,1,0.5,48,39,9
6,Edmonton Oilers,1981,9,5,4,0,0,1,0.556,35,35,0
7,St. Louis Blues,1981,11,5,6,0,1,0,0.455,42,50,-8
8,Buffalo Sabres,1981,8,4,4,0,2,1,0.5,30,30,0
9,Quebec Nordiques,1981,5,2,3,0,1,0,0.4,17,22,-5
10,Pittsburgh Penguins,1981,5,2,3,0,0,1,0.4,21,20,1
11,Los Angeles Kings,1981,4,1,3,0,0,0,0.25,12,23,-11
12,Boston Bruins,1981,3,0,3,0,0,1,0,13,20,-7
13,Vancouver Canucks,1981,3,0,3,0,0,1,0,7,13,-6
14,Chicago Black Hawks,1981,3,0,3,0,0,1,0,9,15,-6
15,Montreal Canadiens,1981,3,0,3,0,0,0,0,6,15,-9
16,Toronto Maple Leafs,1981,3,0,3,0,0,0,0,4,20,-16
1,New York Islanders,1980,21,15,6,0,6,1,0.714,88,66,22
2,Philadelphia Flyers,1980,19,13,6,0,2,2,0.684,78,53,25
3,Buffalo Sabres,1980,14,9,5,0,0,1,0.643,48,36,12
4,Minnesota North Stars,1980,15,8,7,0,1,0,0.533,49,56,-7
5,Montreal Canadiens,1980,10,6,4,0,1,0,0.6,39,26,13
6,New York Rangers,1980,9,4,5,0,1,0,0.444,21,22,-1
7,Boston Bruins,1980,10,4,6,0,1,2,0.4,35,33,2
8,Chicago Black Hawks,1980,7,3,4,0,1,0,0.429,19,20,-1
9,Pittsburgh Penguins,1980,5,2,3,0,0,0,0.4,14,21,-7
10,Vancouver Canucks,1980,4,1,3,0,0,0,0.25,7,15,-8
11,Los Angeles Kings,1980,4,1,3,0,0,1,0.25,10,21,-11
12,Atlanta Flames,1980,4,1,3,0,0,1,0.25,8,14,-6
13,St. Louis Blues,1980,3,0,3,0,0,1,0,4,12,-8
14,Toronto Maple Leafs,1980,3,0,3,0,0,1,0,8,17,-9
15,Hartford Whalers,1980,3,0,3,0,0,1,0,8,18,-10
16,Edmonton Oilers,1980,3,0,3,0,0,2,0,6,12,-6
1,Montreal Canadiens,1979,16,12,4,0,4,1,0.75,63,41,22
2,New York Rangers,1979,18,11,7,0,1,4,0.611,66,42,24
3,Boston Bruins,1979,11,7,4,0,1,1,0.636,36,32,4
4,New York Islanders,1979,10,6,4,0,3,0,0.6,27,21,6
5,Philadelphia Flyers,1979,8,3,5,0,1,0,0.375,23,37,-14
6,Toronto Maple Leafs,1979,6,2,4,0,0,2,0.333,19,24,-5
7,Pittsburgh Penguins,1979,7,2,5,0,1,0,0.286,16,25,-9
8,Buffalo Sabres,1979,3,1,2,0,0,1,0.333,9,9,0
9,Vancouver Canucks,1979,3,1,2,0,0,0,0.333,9,15,-6
10,Atlanta Flames,1979,2,0,2,0,0,0,0,5,9,-4
11,Los Angeles Kings,1979,2,0,2,0,0,1,0,2,9,-7
12,Chicago Black Hawks,1979,4,0,4,0,0,1,0,3,14,-11
1,Montreal Canadiens,1978,15,12,3,0,1,1,0.8,58,29,29
2,Boston Bruins,1978,15,10,5,0,4,1,0.667,53,42,11
3,Philadelphia Flyers,1978,12,7,5,0,1,1,0.583,37,35,2
4,Toronto Maple Leafs,1978,13,6,7,0,1,2,0.462,33,32,1
5,Detroit Red Wings,1978,7,3,4,0,0,0,0.429,18,29,-11
6,New York Islanders,1978,7,3,4,0,2,1,0.429,13,16,-3
7,Buffalo Sabres,1978,8,3,5,0,0,1,0.375,22,22,0
8,New York Rangers,1978,3,1,2,0,1,0,0.333,6,11,-5
9,Atlanta Flames,1978,2,0,2,0,0,0,0,5,8,-3
10,Colorado Rockies,1978,2,0,2,0,0,1,0,3,6,-3
11,Los Angeles Kings,1978,2,0,2,0,0,0,0,3,11,-8
12,Chicago Black Hawks,1978,4,0,4,0,0,2,0,9,19,-10
1,Montreal Canadiens,1978,14,12,2,0,1,1,0.857,54,23,31
2,New York Islanders,1977,12,8,4,0,1,0,0.667,36,32,4
3,Boston Bruins,1977,14,8,6,0,2,1,0.571,50,48,2
4,Los Angeles Kings,1977,9,4,5,0,0,0,0.444,35,37,-2
5,Toronto Maple Leafs,1977,9,4,5,0,0,2,0.444,31,29,2
6,Philadelphia Flyers,1977,10,4,6,0,2,2,0.4,27,32,-5
7,Buffalo Sabres,1977,6,2,4,0,0,0,0.333,21,19,2
8,Atlanta Flames,1977,3,1,2,0,0,0,0.333,7,11,-4
9,Pittsburgh Penguins,1977,3,1,2,0,0,0,0.333,10,13,-3
10,Minnesota North Stars,1977,2,0,2,0,0,0,0,3,11,-8
11,Chicago Black Hawks,1977,2,0,2,0,0,0,0,3,7,-4
12,St. Louis Blues,1977,4,0,4,0,0,0,0,4,19,-15
1,Montreal Canadiens,1976,13,12,1,0,0,0,0.923,44,26,18
2,Philadelphia Flyers,1976,16,8,8,0,1,0,0.5,61,49,12
3,New York Islanders,1976,13,7,6,0,0,1,0.538,43,39,4
4,Los Angeles Kings,1976,9,5,4,0,2,0,0.556,17,27,-10
5,Toronto Maple Leafs,1976,10,5,5,0,0,0,0.5,31,36,-5
6,Boston Bruins,1976,12,5,7,0,0,3,0.417,38,33,5
7,Buffalo Sabres,1976,9,4,5,0,3,0,0.444,25,29,-4
8,St. Louis Blues,1976,3,1,2,0,0,2,0.333,8,7,1
9,Pittsburgh Penguins,1976,3,1,2,0,0,0,0.333,3,8,-5
10,Atlanta Flames,1976,2,0,2,0,0,0,0,1,3,-2
11,Vancouver Canucks,1976,2,0,2,0,0,0,0,4,8,-4
12,Chicago Black Hawks,1976,4,0,4,0,0,0,0,3,13,-10
1,Philadelphia Flyers,1975,17,12,5,0,2,2,0.706,53,34,19
2,Buffalo Sabres,1975,17,10,7,0,3,1,0.588,53,58,-5
3,New York Islanders,1975,17,9,8,0,2,1,0.529,47,50,-3
4,Montreal Canadiens,1975,11,6,5,0,1,2,0.545,49,30,19
5,Pittsburgh Penguins,1975,9,5,4,0,0,0,0.556,27,27,0
6,Chicago Black Hawks,1975,8,3,5,0,2,0,0.375,22,35,-13
7,Toronto Maple Leafs,1975,7,2,5,0,1,2,0.286,13,21,-8
8,Boston Bruins,1975,3,1,2,0,0,1,0.333,15,12,3
9,Los Angeles Kings,1975,3,1,2,0,1,1,0.333,6,7,-1
10,New York Rangers,1975,3,1,2,0,0,1,0.333,13,10,3
11,Vancouver Canucks,1975,5,1,4,0,0,1,0.2,9,20,-11
12,St. Louis Blues,1975,2,0,2,0,0,0,0,6,9,-3
1,Philadelphia Flyers,1974,17,12,5,0,2,1,0.706,54,36,18
2,Boston Bruins,1974,16,10,6,0,1,2,0.625,58,44,14
3,New York Rangers,1974,13,7,6,0,2,0,0.538,38,39,-1
4,Chicago Black Hawks,1974,11,6,5,0,1,0,0.545,30,35,-5
5,Montreal Canadiens,1974,6,2,4,0,0,1,0.333,17,21,-4
6,Los Angeles Kings,1974,5,1,4,0,0,0,0.2,7,10,-3
7,Atlanta Flames,1974,4,0,4,0,0,1,0,6,17,-11
8,Toronto Maple Leafs,1974,4,0,4,0,0,1,0,9,17,-8
1,Montreal Canadiens,1973,17,12,5,0,1,2,0.706,73,52,21
2,Chicago Black Hawks,1973,16,10,6,0,0,0,0.625,60,53,7
3,New York Rangers,1973,10,5,5,0,0,0,0.5,33,26,7
4,Philadelphia Flyers,1973,11,5,6,0,2,1,0.455,27,31,-4
5,Buffalo Sabres,1973,6,2,4,0,1,0,0.333,16,21,-5
6,Minnesota North Stars,1973,6,2,4,0,0,1,0.333,12,14,-2
7,Boston Bruins,1973,5,1,4,0,0,0,0.2,11,22,-11
8,St. Louis Blues,1973,5,1,4,0,0,0,0.2,9,22,-13
1,Boston Bruins,1972,15,12,3,0,0,1,0.8,64,34,30
2,New York Rangers,1972,16,10,6,0,0,0,0.625,52,41,11
3,Chicago Black Hawks,1972,8,4,4,0,1,0,0.5,23,25,-2
4,St. Louis Blues,1972,11,4,7,0,1,1,0.364,27,47,-20
5,Minnesota North Stars,1972,7,3,4,0,1,1,0.429,19,19,0
6,Montreal Canadiens,1972,6,2,4,0,0,0,0.333,14,19,-5
7,Toronto Maple Leafs,1972,5,1,4,0,1,0,0.2,10,18,-8
8,Pittsburgh Penguins,1972,4,0,4,0,0,1,0,8,14,-6
1,Montreal Canadiens,1971,20,12,8,0,0,1,0.6,75,63,12
2,Chicago Black Hawks,1971,18,11,7,0,2,2,0.611,59,42,17
3,New York Rangers,1971,13,7,6,0,3,1,0.538,30,36,-6
4,Minnesota North Stars,1971,12,6,6,0,0,0,0.5,35,42,-7
5,Boston Bruins,1971,7,3,4,0,0,0,0.429,26,28,-2
6,Toronto Maple Leafs,1971,6,2,4,0,0,1,0.333,15,16,-1
7,St. Louis Blues,1971,6,2,4,0,0,0,0.333,15,16,-1
8,Philadelphia Flyers,1971,4,0,4,0,0,0,0,8,20,-12
1,Boston Bruins,1970,14,12,2,0,1,0,0.857,65,33,32
2,St. Louis Blues,1970,16,8,8,0,0,1,0.5,46,46,0
3,Pittsburgh Penguins,1970,10,6,4,0,1,0,0.6,23,25,-2
4,Chicago Black Hawks,1970,8,4,4,0,0,0,0.5,26,28,-2
5,New York Rangers,1970,6,2,4,0,0,0,0.333,16,25,-9
6,Minnesota North Stars,1970,6,2,4,0,0,0,0.333,16,20,-4
7,Detroit Red Wings,1970,4,0,4,0,0,0,0,8,16,-8
8,Oakland Seals,1970,4,0,4,0,0,1,0,6,13,-7
1,Montreal Canadiens,1969,14,12,2,0,3,0,0.857,43,26,17
2,St. Louis Blues,1969,12,8,4,0,0,0,0.667,36,20,16
3,Boston Bruins,1969,10,6,4,0,0,3,0.6,40,20,20
4,Los Angeles Kings,1969,11,4,7,0,1,0,0.364,28,41,-13
5,Oakland Seals,1969,7,3,4,0,0,1,0.429,25,23,2
6,Toronto Maple Leafs,1969,4,0,4,0,0,0,0,5,24,-19
7,New York Rangers,1969,4,0,4,0,0,0,0,7,16,-9
8,Philadelphia Flyers,1969,4,0,4,0,0,0,0,3,17,-14
1,Montreal Canadiens,1968,13,12,1,0,3,0,0.923,48,25,23
2,St. Louis Blues,1968,18,8,10,0,4,4,0.444,42,50,-8
3,Minnesota North Stars,1968,14,7,7,0,2,3,0.5,48,39,9
4,Chicago Black Hawks,1968,11,5,6,0,0,1,0.455,28,34,-6
5,Los Angeles Kings,1968,7,3,4,0,0,1,0.429,21,26,-5
6,Philadelphia Flyers,1968,7,3,4,0,1,1,0.429,17,17,0
7,New York Rangers,1968,6,2,4,0,0,0,0.333,12,18,-6
8,Boston Bruins,1968,4,0,4,0,0,0,0,8,15,-7
1,Toronto Maple Leafs,1967,12,8,4,0,1,0,0.667,35,30,5
2,Montreal Canadiens,1967,10,6,4,0,1,1,0.6,30,25,5
3,Chicago Black Hawks,1967,6,2,4,0,0,0,0.333,14,18,-4
4,New York Rangers,1967,4,0,4,0,0,1,0,8,14,-6
1,Montreal Canadiens,1966,10,8,2,0,1,0,0.8,33,20,13
2,Detroit Red Wings,1966,12,6,6,0,0,1,0.5,36,28,8
3,Chicago Black Hawks,1966,6,2,4,0,0,0,0.333,10,22,-12
4,Toronto Maple Leafs,1966,4,0,4,0,0,0,0,6,15,-9
1,Montreal Canadiens,1965,13,8,5,0,1,1,0.615,35,26,9
2,Chicago Black Hawks,1965,14,7,7,0,0,0,0.5,35,37,-2
3,Detroit Red Wings,1965,7,3,4,0,0,0,0.429,19,23,-4
4,Toronto Maple Leafs,1965,6,2,4,0,1,1,0.333,14,17,-3
1,Toronto Maple Leafs,1964,14,8,6,0,1,1,0.571,39,31,8
2,Detroit Red Wings,1964,14,7,7,0,1,2,0.5,41,40,1
3,Chicago Black Hawks,1964,7,3,4,0,1,0,0.429,18,24,-6
4,Montreal Canadiens,1964,7,3,4,0,0,0,0.429,14,17,-3
1,Toronto Maple Leafs,1963,10,8,2,0,0,0,0.8,31,16,15
2,Detroit Red Wings,1963,11,5,6,0,0,0,0.455,35,36,-1
3,Chicago Black Hawks,1963,6,2,4,0,0,0,0.333,19,25,-6
4,Montreal Canadiens,1963,5,1,4,0,0,0,0.2,6,14,-8
1,Toronto Maple Leafs,1962,12,8,4,0,1,0,0.667,40,30,10
2,Chicago Black Hawks,1962,12,6,6,0,0,0,0.5,34,31,3
3,Montreal Canadiens,1962,6,2,4,0,0,0,0.333,13,19,-6
4,New York Rangers,1962,6,2,4,0,0,1,0.333,15,22,-7
1,Chicago Black Hawks,1961,12,8,4,0,1,0,0.667,35,27,8
2,Detroit Red Wings,1961,11,6,5,0,0,1,0.545,27,27,0
3,Montreal Canadiens,1961,6,2,4,0,0,1,0.333,15,16,-1
4,Toronto Maple Leafs,1961,5,1,4,0,1,0,0.2,8,15,-7
1,Montreal Canadiens,1960,8,8,0,0,1,0,1,29,11,18
2,Toronto Maple Leafs,1960,10,4,6,0,1,1,0.4,25,31,-6
3,Detroit Red Wings,1960,6,2,4,0,1,1,0.333,16,20,-4
4,Chicago Black Hawks,1960,4,0,4,0,0,1,0,6,14,-8
1,Montreal Canadiens,1959,11,8,3,0,0,1,0.727,39,28,11
2,Toronto Maple Leafs,1959,12,5,7,0,3,0,0.417,32,39,-7
3,Boston Bruins,1959,7,3,4,0,0,2,0.429,21,20,1
4,Chicago Black Hawks,1959,6,2,4,0,0,0,0.333,16,21,-5
1,Montreal Canadiens,1958,10,8,2,0,2,0,0.8,35,20,15
2,Boston Bruins,1958,12,6,6,0,1,1,0.5,42,32,10
3,New York Rangers,1958,6,2,4,0,0,1,0.333,16,28,-12
4,Detroit Red Wings,1958,4,0,4,0,0,1,0,6,19,-13
1,Montreal Canadiens,1957,10,8,2,0,1,1,0.8,37,18,19
2,Boston Bruins,1957,10,5,5,0,0,0,0.5,21,29,-8
3,Detroit Red Wings,1957,5,1,4,0,0,0,0.2,14,15,-1
4,New York Rangers,1957,5,1,4,0,1,1,0.2,12,22,-10
1,Montreal Canadiens,1956,10,8,2,0,0,0,0.8,42,18,24
2,Detroit Red Wings,1956,10,5,5,0,1,0,0.5,23,28,-5
3,Toronto Maple Leafs,1956,5,1,4,0,0,1,0.2,10,14,-4
4,New York Rangers,1956,5,1,4,0,0,0,0.2,9,24,-15
1,Detroit Red Wings,1955,11,8,3,0,0,0,0.727,41,26,15
2,Montreal Canadiens,1955,12,7,5,0,1,0,0.583,36,36,0
3,Boston Bruins,1955,5,1,4,0,0,1,0.2,9,16,-7
4,Toronto Maple Leafs,1955,4,0,4,0,0,0,0,6,14,-8
1,Detroit Red Wings,1954,12,8,4,0,2,1,0.667,29,20,9
2,Montreal Canadiens,1954,11,7,4,0,1,1,0.636,28,18,10
3,Toronto Maple Leafs,1954,5,1,4,0,0,1,0.2,8,15,-7
4,Boston Bruins,1954,4,0,4,0,0,0,0,4,16,-12
1,Montreal Canadiens,1953,12,8,4,0,1,1,0.667,34,23,11
2,Boston Bruins,1953,11,5,6,0,1,1,0.455,30,37,-7
3,Chicago Black Hawks,1953,7,3,4,0,1,0,0.429,14,18,-4
4,Detroit Red Wings,1953,6,2,4,0,0,1,0.333,21,21,0
1,Detroit Red Wings,1952,8,8,0,0,0,0,1,24,5,19
2,Montreal Canadiens,1952,11,4,7,0,1,0,0.364,20,23,-3
3,Boston Bruins,1952,7,3,4,0,0,1,0.429,12,18,-6
4,Toronto Maple Leafs,1952,4,0,4,0,0,0,0,3,13,-10
1,Toronto Maple Leafs,1951,11,8,2,1,4,1,0.773,30,15,15
2,Montreal Canadiens,1951,11,5,6,0,3,4,0.455,23,25,-2
3,Detroit Red Wings,1951,6,2,4,0,0,2,0.333,12,13,-1
4,Boston Bruins,1951,6,1,4,1,0,0,0.25,5,17,-12
1,Detroit Red Wings,1950,14,8,6,0,3,2,0.571,32,28,4
2,New York Rangers,1950,12,7,5,0,2,2,0.583,32,29,3
3,Toronto Maple Leafs,1950,7,3,4,0,0,2,0.429,11,10,1
4,Montreal Canadiens,1950,5,1,4,0,1,0,0.2,7,15,-8
1,Toronto Maple Leafs,1949,9,8,1,0,1,1,0.889,28,15,13
2,Detroit Red Wings,1949,11,4,7,0,1,2,0.364,22,26,-4
3,Montreal Canadiens,1949,7,3,4,0,1,1,0.429,14,17,-3
4,Boston Bruins,1949,5,1,4,0,1,0,0.2,10,16,-6
1,Toronto Maple Leafs,1948,9,8,1,0,1,0,0.889,38,20,18
2,Detroit Red Wings,1948,10,4,6,0,0,0,0.4,24,30,-6
3,New York Rangers,1948,6,2,4,0,0,0,0.333,12,17,-5
4,Boston Bruins,1948,5,1,4,0,0,1,0.2,13,20,-7
1,Toronto Maple Leafs,1947,11,8,3,0,2,0,0.727,31,27,4
2,Montreal Canadiens,1947,11,6,5,0,2,1,0.545,29,23,6
3,Boston Bruins,1947,5,1,4,0,0,2,0.2,10,16,-6
4,Detroit Red Wings,1947,5,1,4,0,0,1,0.2,14,18,-4
1,Montreal Canadiens,1946,9,8,1,0,2,1,0.889,45,20,25
2,Boston Bruins,1946,10,5,5,0,2,2,0.5,29,29,0
3,Detroit Red Wings,1946,5,1,4,0,0,1,0.2,10,16,-6
4,Chicago Black Hawks,1946,4,0,4,0,0,0,0,7,26,-19
1,Toronto Maple Leafs,1945,13,8,5,0,1,1,0.615,24,30,-6
2,Detroit Red Wings,1945,14,7,7,0,2,0,0.5,31,31,0
3,Boston Bruins,1945,7,3,4,0,0,1,0.429,22,22,0
4,Montreal Canadiens,1945,6,2,4,0,0,1,0.333,21,15,6
1,Montreal Canadiens,1944,9,8,1,0,1,0,0.889,39,14,25
2,Chicago Black Hawks,1944,9,4,5,0,0,1,0.444,25,24,1
3,Detroit Red Wings,1944,5,1,4,0,0,0,0.2,8,17,-9
4,Toronto Maple Leafs,1944,5,1,4,0,0,0,0.2,6,23,-17
1,Detroit Red Wings,1943,10,8,2,0,1,1,0.8,36,22,14
2,Boston Bruins,1943,9,4,5,0,3,0,0.444,23,33,-10
3,Toronto Maple Leafs,1943,6,2,4,0,1,1,0.333,17,20,-3
4,Montreal Canadiens,1943,5,1,4,0,0,3,0.2,17,18,-1
1,Toronto Maple Leafs,1942,13,8,5,0,0,0,0.615,38,31,7
2,Detroit Red Wings,1942,12,7,5,0,0,0,0.583,36,38,-2
